,tin,mahalla,mahalla_code,viloyat,tuman,sektor,coato,region_id,district_id
3968,205588629,RABOT,1773,Buxoro viloyati,Jondor tumani,4,1706246,1,23
3969,205028524,QOʻSHXODIM,1406,Buxoro viloyati,Buxoro tumani,1,1706207,1,15
3970,203988091,RABOTAK,10735,Buxoro viloyati,Buxoro tumani,1,1706207,1,15
3971,205003682,NAVROʻZ,1408,Buxoro viloyati,Buxoro tumani,1,1706207,1,15
3972,204067991,BOGʻIKALON,1400,Buxoro viloyati,Buxoro tumani,1,1706207,1,15
3973,302916645,AMIROBOD - GULISTON,1411,Buxoro viloyati,Buxoro tumani,2,1706207,1,15
3974,204068096,SHEXONCHA,1420,Buxoro viloyati,Buxoro tumani,2,1706207,1,15
3975,203988124,XONABOD,1418,Buxoro viloyati,Buxoro tumani,2,1706207,1,15
3976,203988116,RABOTI POYON,1417,Buxoro viloyati,Buxoro tumani,2,1706207,1,15
3977,200950736,YANGIOBOD,8673,Xorazm viloyati,Shovot tumani,3,1733230,12,156
3978,204313069,MEVAZOR,8678,Xorazm viloyati,Shovot tumani,3,1733230,12,156
3979,204486313,OLTINQALʻA,8686,Xorazm viloyati,Shovot tumani,4,1733230,12,156
3980,303485240,PSKOM,6334,Toshkent viloyati,Bo‘stonliq tumani,4,1727224,10,121
3981,303209653,UZUN,6331,Toshkent viloyati,Bo‘stonliq tumani,4,1727224,10,121
3982,305484351,NANAY,6330,Toshkent viloyati,Bo‘stonliq tumani,4,1727224,10,121
3983,304965552,DOʻSTLIK,6329,Toshkent viloyati,Bo‘stonliq tumani,4,1727224,10,121
3984,303363424,FAZOGIR,6327,Toshkent viloyati,Bo‘stonliq tumani,4,1727224,10,121
3985,203196209,MAY,6580,Toshkent viloyati,Qibray tumani,1,1727248,10,126
3986,207299338,TURKISTON,10814,Toshkent viloyati,Qibray tumani,1,1727248,10,126
3987,203655926,ILGʻOR,6575,Toshkent viloyati,Qibray tumani,1,1727248,10,126
3988,203632772,ABDURAXMON JOMIY,6576,Toshkent viloyati,Qibray tumani,1,1727248,10,126
3989,203455984,YANGI AVLOD,6579,Toshkent viloyati,Qibray tumani,1,1727248,10,126
3990,202966982,SHALOLA,6581,Toshkent viloyati,Qibray tumani,1,1727248,10,126
3991,203013767,TARAQQIY,6568,Toshkent viloyati,Qibray tumani,1,1727248,10,126
3992,203024262,YONARIQ,6569,Toshkent viloyati,Qibray tumani,1,1727248,10,126
3993,202918154,SOHIBKOR,6981,Toshkent viloyati,Toshkent tumani,1,1727265,10,132
3994,202893814,DOʻSTLIK,10303,Sirdaryo viloyati,Sirdaryo tumani,1,1724231,8,104
3995,202894084,NAVOIY,10298,Sirdaryo viloyati,Sirdaryo tumani,2,1724231,8,104
3996,202893806,TINCHLIK,6076,Sirdaryo viloyati,Sirdaryo tumani,2,1724231,8,104
3997,202893900,ORZU,6075,Sirdaryo viloyati,Sirdaryo tumani,2,1724231,8,104
3998,203300609,ISHONCH,10293,Sirdaryo viloyati,Sirdaryo tumani,2,1724231,8,104
3999,202894076,DEHQONOBOD,10295,Sirdaryo viloyati,Sirdaryo tumani,2,1724231,8,104
4000,202894037,QUYOSH,6085,Sirdaryo viloyati,Sirdaryo tumani,3,1724231,8,104
4001,202894020,ELOBOD,6091,Sirdaryo viloyati,Sirdaryo tumani,3,1724231,8,104
4002,202893860,FURQAT,6089,Sirdaryo viloyati,Sirdaryo tumani,3,1724231,8,104
