,махаля,region_id,district_id
551,ЗАРАФШОН,6,71
552,ЧЎЯНТЕПА,6,71
553,МИРЗО УЛУҒБЕК,6,78
554,2-ЎРМОНЧИЛАР,11,187
555,НАВОИЙ,11,133
556,ҚАПЧУҒАЙ,11,133
557,ШАРҚ,11,133
558,ИБН СИНО,11,133
559,ОЛМАЗОР,11,133
560,ГУЛИСТОН,11,133
561,ОБОД,11,133
562,ҚУВУРБОШИ,11,133
563,ТОШОБОД,11,133
564,МУҚИМИЙ,11,133
565,ДЎСТЛИК,11,133
566,ОҚ ОЛТИН,11,133
567,МИРФОЗИЛ,11,133
568,ЧИНОРТАГИ,11,133
569,ЯНГИҚЎРҒОН,11,133
570,БУҒДОЙЧИ,11,133
571,ТУРК,11,138
572,ДЎСТЛИК,7,96
573,ГУЛОБОД,6,179
574,ЮЗИЯ,11,138
575,АКБАРОБОД,11,138
576,ЗИЁКОР,0,2
577,ЧАРОҒОН,0,2
578,ПОЛВОНКЎЛ,0,2
579,ЎРМОНБЕК,0,2
580,ОЛИМБЕК,0,2
581,ЗУЛФИҚОР,0,2
582,МУСТАҚИЛЛИК,0,2
583,ЭСКИ МАРКАЗ,0,2
584,ЎРТАҚЎРҒОН,0,2
585,ОҚҚЎРҒОН,0,2
586,КЎЛ,0,2
587,ГЎРАВОН,0,2
588,ГУЛИСТОН,5,65
589,БОҒ КЎЧА,5,65
590,СОЗ-СОЙ,5,67
591,ОЙБАРАК,7,89
592,ЛОЛАЗОР,7,89
593,ГУЛЗОР,7,92
594,ЯНГИ ТУРМУШ,7,92
595,ҚИШЛОҚОЗОН,7,92
596,ЧИНОР,7,86
597,ҚУДУҚСОЙ,7,86
598,47-РАЙХОН,11,188
599,63-ҚУДУҚЛИК,11,188
600,ПАХТАКОР,11,138
601,ҚАЛИН ПЎСТИН,11,138
602,АРСИФ,11,189
603,СОБИРТЕПА,11,137
604,КЎРКАМ,11,137
605,БОЗОРБОШИ,5,67
606,ДЎСТЛИК,5,67
607,СОЙ,5,67
608,ЎЗБЕКИСТОН,5,67
609,ОҚҚЎРҒОНЛИК,2,185
610,ХАМЗАОБОД,2,185
611,БЎСТОН,2,25
612,НАВОИЙ,5,62
613,КАТТА ЎЛМАС,5,62
614,ЯШИК,5,62
615,БИРДАМЛИК,9,113
616,ҚЎШҚЎРҒОН,9,113
617,АҲИЛЛИК,9,109
618,ОҚ ҚЎРҒОН,9,109
619,ШАҲРИСАБЗ,9,109
620,НУР,9,109
621,ЯНГИ ТАРНОВ,9,108
622,БОДОМЗОР,9,108
623,25-ЖЎЙДАМ,11,187
624,57-ХАМКОРЛИК,11,187
625,ТАБАССУМ,11,187
626,ҚИРГУЛИ,11,187
627,14-БАХОР,11,187
628,5-АХМАД АЛ ФАРҒОНИЙ,11,187
629,СОХИБКИРОН ТЕМУР,11,187
630,НАВРУЗ,11,187
631,ШОДЛИК,11,187
632,ШАРШАРА,11,187
633,ФАРҒОНА 9,11,187
634,30-А.НАВОИЙ,11,187
635,ШОДИЁНА,11,187
636,ГУЛЗОР,11,187
637,31-ОҚАРИҚОБОД,11,187
638,50-НАФОСАТ,11,187
639,ҚОРАЧА,4,58
640,КАТТАСОЙ,4,58
641,ЗАРБДОР,4,58
642,ДАМАРИҚ,4,58
643,АЛИШЕР НАВОИЙ,4,58
644,МУДИН,3,41
645,ЗАМИН,3,41
646,АВҒОНБОГ,3,37
647,АПАРДИ,3,37
648,ХАЛҚАБОД,3,37
649,ҚОВЧИН,3,37
650,СОВЛИҒОР ,3,37
651,ЖОНБУЛОҚ,3,37
652,ТЕНГДОШ,3,37
653,ЯНГИБОҒ,3,49
654,ЯНГИ-ТУРМУШ,3,190
655,АЛИШЕР НАВОИЙ,3,190
656,ЗАХИРИДДИН МУХАММАД  БОБУР,0,8
657,ДЕҲҚОНОБОД,0,8
658,БОЗОРБОШИ,0,8
659,ЮКСАЛИШ,0,8
660,ЯНГИ БЕЛТЕПА,9,111
661,НУШКЕНТ,2,26
662,ХОНИМҚЎРҒОН,2,27
663,ГУЛЧАМБАР,2,27
664,ЛАЛМИКОР,2,27
665,ҚОРАТОШ,9,111
666,КАТТА-БОҒ,9,111
667,ЧОРСУ,9,111
668,САМАРҚАНД-ДАРБАЗА,9,111
